switch,"A device that connects multiple devices in a LAN and forwards data based on MAC addresses.","อุปกรณ์ที่เชื่อมต่ออุปกรณ์หลายเครื่องใน LAN และส่งต่อข้อมูลตามที่อยู่ MAC"
host,"A computer or other device connected to a network that provides or uses network services.","อุปกรณ์หรือคอมพิวเตอร์อื่นที่เชื่อมต่อกับเครือข่ายและให้บริการหรือใช้บริการเครือข่าย"
end device,"A device such as a computer or printer that is the source or destination of network messages.","อุปกรณ์เช่นคอมพิวเตอร์หรือเครื่องพิมพ์ที่เป็นต้นทางหรือปลายทางของข้อความเครือข่าย"
network,"A collection of devices connected to share resources and exchange data.","เครือข่ายหรือกลุ่มของอุปกรณ์ที่เชื่อมต่อกันเพื่อแบ่งปันทรัพยากรและแลกเปลี่ยนข้อมูล"
server,"A computer that provides services or resources to other devices (clients) over a network.","คอมพิวเตอร์ที่ให้บริการหรือทรัพยากรแก่อุปกรณ์อื่น (ไคลเอนต์) ผ่านเครือข่าย"
client,"A device or program that accesses services provided by a server.","อุปกรณ์หรือโปรแกรมที่เข้าถึงบริการที่จัดหาให้โดยเซิร์ฟเวอร์"
web browser,"A software application used to access and view websites and web content.","แอปพลิเคชันซอฟต์แวร์ที่ใช้ในการเข้าถึงและดูเว็บไซต์และเนื้อหาเว็บ"
simultaneous,"Occurring at the same time, such as multiple users accessing a network resource.","เกิดขึ้นในเวลาเดียวกัน เช่น ผู้ใช้หลายคนเข้าถึงทรัพยากรเครือข่ายพร้อมกัน"
soho,"Small Office Home Office network designed for a small number of users or devices.","เครือข่ายสำนักงานขนาดเล็กหรือสำนักงานในบ้านที่ออกแบบมาสำหรับผู้ใช้หรืออุปกรณ์จำนวนน้อย"
email server,"A server responsible for sending, receiving, and storing email messages.","เซิร์ฟเวอร์ที่มีหน้าที่ในการส่ง รับ และจัดเก็บข้อความอีเมล"
web server,"A server that hosts websites and delivers web pages to users via HTTP/HTTPS.","เซิร์ฟเวอร์ที่ให้บริการโฮสต์เว็บไซต์และส่งมอบหน้าเว็บให้กับผู้ใช้ผ่าน HTTP/HTTPS"
